Year,Question,Area,Area_abbr,Demographics_Type,Demographics_Value,Percent,Low_Confidence_Interval,High_Confidence_Interval,Confidence_Interval_Formatted,Data_Label,Percentile_Range
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Connecticut,CT,Total,Total,8.7,7.8,9.7,8.7 (7.8-9.7),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Maine,ME,Total,Total,11.6,10.8,12.4,11.6 (10.8-12.4),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Massachusetts,MA,Total,Total,8.1,7.4,8.9,8.1 (7.4-8.9),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",New Hampshire,NH,Total,Total,8.8,7.7,9.9,8.8 (7.7-9.9),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",New Jersey,NJ,Total,Total,8.4,7.7,9.2,8.4 (7.7-9.2),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",New York,NY,Total,Total,9.0,8.6,9.4,9.0 (8.6-9.4),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Pennsylvania,PA,Total,Total,8.7,7.5,10.0,8.7 (7.5-10.0),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Rhode Island,RI,Total,Total,9.4,8.3,10.6,9.4 (8.3-10.6),N/A,N/A
2024,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Vermont,VT,Total,Total,8.9,7.9,9.8,8.9 (7.9-9.8),N/A,N/A
2023,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Connecticut,CT,Total,Total,8.3,7.4,9.2,8.3 (7.4-9.2),N/A,N/A
2023,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Maine,ME,Total,Total,11.4,10.6,12.3,11.4 (10.6-12.3),N/A,N/A
2023,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",Massachusetts,MA,Total,Total,9.4,8.5,10.3,9.4 (8.5-10.3),N/A,N/A
2023,"During the past 30 days, how many days did poor physical or mental health keep you from doing your usual activities, such as self-care, work, or recreation?",New Hampshire,NH,Total,Total,10.1,8.9,11.2,10.1 (8.9-11.2),N/A,N/A
